"fbid","symbol"
"FBgn0035193","CG9192"
"FBgn0004378","Klp61F"
"FBgn0035194","Psf1"
"FBgn0283500","Sac1"
"FBgn0035196","CG9129"
"FBgn0262937","Rabex-5"
"FBgn0025682","scf"
"FBgn0010333","Rac1"
"FBgn0035203","CG9149"
"FBgn0035204","CG2277"
"FBgn0035205","Ctr9"
"FBgn0035206","sturkopf"
"FBgn0035207","Herc4"
"FBgn0010246","Myo61F"
"FBgn0035208","CG9184"
"FBgn0011361","ND-ACP"
"FBgn0035209","msd1"
"FBgn0035210","msd5"
"FBgn0035211","CG2211"
"FBgn0010786","l(3)02640"
"FBgn0035213","CG2199"
"FBgn0267487","Ptp61F"
"FBgn0029514","312"
"FBgn0003295","ru"
"FBgn0004635","rho"
"FBgn0020248","stet"
"FBgn0043458","CG12084"
"FBgn0028577","hfp"
"FBgn0261243","Psa"
"FBgn0011204","cue"
"FBgn0035227","Iml1"
"FBgn0053971","Ir62a"
"FBgn0035228","CG12091"
"FBgn0035229","pns"
"FBgn0052313","CG32313"
"FBgn0041342","Pcyt1"
"FBgn0035231","Pcyt2"
"FBgn0035232","CG12099"
"FBgn0035233","Pex10"
"FBgn0035235","CG7879"
"FBgn0035236","CG12004"
"FBgn0035237","CG13917"
"FBgn0035238","CG12104"
"FBgn0035241","CG12105"
"FBgn0035243","CG13926"
"FBgn0035244","ABCB7"
"FBgn0053230","CG33230"
"FBgn0035245","GC"
"FBgn0035246","CG13928"
"FBgn0013342","nSyb"
"FBgn0035247","metl"
"FBgn0013753","Bgb"
"FBgn0025725","alphaCOP"
"FBgn0035248","CG13919"
"FBgn0035249","CG17249"
"FBgn0025712","CG13920"
"FBgn0035251","Vta1"
"FBgn0035252","CG7970"
"FBgn0035253","CG7971"
"FBgn0035254","CG7974"
"FBgn0026372","RpL23A"
"FBgn0027594","drpr"
"FBgn0035262","CG18171"
"FBgn0035263","CG12035"
"FBgn0035264","Oseg4"
"FBgn0035265","PIG-Wb"
"FBgn0035266","Gk2"
"FBgn0035267","CG13921"
"FBgn0022702","Cht2"
"FBgn0035268","CG8001"
"FBgn0013811","Dhc62B"
"FBgn0035270","CG13933"
"FBgn0027903","CG12018"
"FBgn0035271","CG2021"
"FBgn0035272","mRpL46"
"FBgn0250789","alpha-Spec"
"FBgn0024510","dlt"
"FBgn0011573","Cdc37"
"FBgn0067864","Patj"
"FBgn0025820","JTBR"
"FBgn0261562","CG42676"
"FBgn0027790","GV1"
"FBgn0035282","CNMa"
"FBgn0035283","CG12024"
"FBgn0004636","Rap1"
"FBgn0042712","HBS1"
"FBgn0035285","CG12025"
"FBgn0035286","CG13924"
"FBgn0002183","dre4"
"FBgn0035287","CG13937"
"FBgn0000109","Aprt"
"FBgn0262624","Tmhs"
"FBgn0035294","Mfap1"
"FBgn0002872","mu2"
"FBgn0035295","Cnb"
"FBgn0265988","mv"
"FBgn0035298","SCOT"
"FBgn0027547","CG1927"
"FBgn0035300","CG1139"
"FBgn0086906","sls"
"FBgn0052311","zormin"
"FBgn0035308","CG15822"
"FBgn0035309","CG15879"
"FBgn0026570","CG5704"
"FBgn0035313","CG13810"
"FBgn0026593","CG5707"
"FBgn0035318","CG9018"
"FBgn0040507","ACXD"
"FBgn0035321","CG1275"
"FBgn0015359","CG2034"
"FBgn0015360","oxt"
"FBgn0035323","CG13807"
"FBgn0000543","ecd"
"FBgn0035325","CG13806"
"FBgn0052304","obst-I"
"FBgn0052302","CG32302"
"FBgn0041709","yellow-g"
"FBgn0035328","yellow-g2"
"FBgn0264002","MsR2"
"FBgn0035331","MsR1"
"FBgn0035332","CG13801"
"FBgn0035333","CG1317"
"FBgn0035334","CG8993"
"FBgn0035335","mRpL23"
"FBgn0035336","CG9004"
"FBgn0035337","CG15877"
"FBgn0266696","Svil"
"FBgn0035343","CG16762"
"FBgn0035346","CG1146"
"FBgn0035348","CG16758"
"FBgn0010905","Spn"
"FBgn0010909","msn"
"FBgn0261602","RpL8"
"FBgn0016794","dos"
"FBgn0062517","CG16984"
"FBgn0028504","CG12182"
"FBgn0035355","CG16985"
"FBgn0035356","CG16986"
"FBgn0011828","Pxn"
"FBgn0035357","MEP-1"
"FBgn0035358","CG14949"
"FBgn0035359","CG1143"
"FBgn0035360","CG1246"
"FBgn0027082","ProRS-m"
"FBgn0264606","Fife"
"FBgn0052296","Mrtf"
"FBgn0035370","Non2"
"FBgn0035371","AhcyL1"
"FBgn0035372","CG12093"
"FBgn0044452","Atg2"
"FBgn0035374","mRpS35"
"FBgn0035375","Pgant6"
"FBgn0263392","Tet"
"FBgn0262593","Shab"
"FBgn0035383","CPT2"
"FBgn0035385","FMRFaR"
"FBgn0035388","CG2162"
"FBgn0040308","Jafrac2"
"FBgn0035390","scramb2"
"FBgn0052484","Sk2"
"FBgn0052485","CG32485"
"FBgn0035392","CG1271"
"FBgn0035393","CG16753"
"FBgn0266918","CG32486"
"FBgn0035397","CG11486"
"FBgn0035398","Cht7"
"FBgn0266437","CG45067"
"FBgn0026189","prominin-like"
"FBgn0035400","CG11537"
"FBgn0035401","Alg2"
"FBgn0035402","Usp5"
"FBgn0263108","BtbVII"
"FBgn0266582","ND-30"
"FBgn0035405","CG15812"
"FBgn0024194","rasp"
"FBgn0035407","Asciz"
"FBgn0052280","CG32280"
"FBgn0052278","CG32278"
"FBgn0052281","CG32281"
"FBgn0283724","Girdin"
"FBgn0260026","CG42494"
"FBgn0052284","CG32284"
"FBgn0035412","CG14957"
"FBgn0035413","CG14958"
"FBgn0035414","CG14965"
"FBgn0001233","Hsp83"
"FBgn0035415","CG14966"
"FBgn0047135","CG32276"
"FBgn0286567","gry"
"FBgn0035420","hob"
"FBgn0035421","nSMase"
"FBgn0035422","RpL28"
"FBgn0035423","eIF1"
"FBgn0035424","Larp4B"
"FBgn0035425","CG17746"
"FBgn0035427","ckd"
"FBgn0035431","CG14968"
"FBgn0035432","ZnT63C"
"FBgn0052279","Drsl2"
"FBgn0052283","Drsl3"
"FBgn0052282","Drsl4"
"FBgn0035434","Drsl5"
"FBgn0035435","PIG-C"
"FBgn0035437","Strip"
"FBgn0035438","PHGPx"
"FBgn0035439","CG14961"
"FBgn0035440","CG14969"
"FBgn0052268","Drsl6"
"FBgn0004167","kst"
"FBgn0283461","Drs"
"FBgn0027616","Ythdc1"
"FBgn0035443","CG12010"
"FBgn0035444","CG12012"
"FBgn0035445","Ids"
"FBgn0014388","sty"
"FBgn0026259","eIF5B"
"FBgn0041164","armi"
"FBgn0035449","CG14971"
"FBgn0052267","CG32267"
"FBgn0259224","CG42324"
"FBgn0262484","CG43074"
"FBgn0005640","Eip63E"
"FBgn0035452","CG10359"
"FBgn0263239","dar1"
"FBgn0052264","CG32264"
"FBgn0052266","CG32266"
"FBgn0035461","ntc"
"FBgn0035462","IntS10"
"FBgn0052262","CG32262"
"FBgn0035464","PIG-B"
"FBgn0004888","Scsalpha1"
"FBgn0015585","Acp63F"
"FBgn0004875","enc"
"FBgn0064227","Rdh"
"FBgn0013751","Awh"
"FBgn0026592","Fie"
"FBgn0035468","Gr63a"
"FBgn0035469","CG14977"
"FBgn0035470","Ccz1"
"FBgn0003943","Ubi-p63E"
"FBgn0035471","Sc2"
"FBgn0041147","ida"
"FBgn0035473","mge"
"FBgn0004910","Eip63F-1"
"FBgn0035475","CG10866"
"FBgn0035476","CG12766"
"FBgn0027552","CG10863"
"FBgn0035481","CG12605"
"FBgn0004880","scrt"
"FBgn0035482","CG14985"
"FBgn0035483","Mul1"
"FBgn0035484","CG11594"
"FBgn0045479","Gr64a"
"FBgn0052255","Gr64f"
"FBgn0035488","CG11593"
"FBgn0263832","Rcd5"
"FBgn0035490","CG1136"
"FBgn0042179","Ugt305A1"
"FBgn0024179","wit"
"FBgn0052259","CG32259"
"FBgn0016013","Faa"
"FBgn0004516","Gad1"
"FBgn0035495","CG14989"
"FBgn0035496","CG14990"
"FBgn0035497","CG14995"
"FBgn0035498","Fit1"
"FBgn0028484","Ack"
"FBgn0035499","Chd64"
"FBgn0264693","ens"
"FBgn0260985","RfC4"
"FBgn0004574","Rop"
"FBgn0003206","Ras64B"
"FBgn0004552","Akh"
"FBgn0052260","CG32260"
"FBgn0261274","Ero1L"
"FBgn0040696","CG18675"
"FBgn0035504","Teh4"
"FBgn0035505","Teh2"
"FBgn0028664","VhaM9.7-c"
"FBgn0003710","tipE"
"FBgn0263110","CG43367"
"FBgn0035513","Cpr64Ad"
"FBgn0001257","ImpL2"
"FBgn0035515","CG14997"
"FBgn0011692","pav"
"FBgn0041171","ago"
"FBgn0035517","CG1265"
"FBgn0035518","CG15011"
"FBgn0035519","CG1309"
"FBgn0035520","CG11586"
"FBgn0035521","VhaM9.7-a"
"FBgn0035523","Ctl1"
"FBgn0035524","CG11583"
"FBgn0035526","CG1316"
"FBgn0015829","TfIIEbeta"
"FBgn0041630","Hexo1"
"FBgn0035528","CG15012"
"FBgn0035529","Fdx2"
"FBgn0066365","dyl"
"FBgn0052251","Claspin"
"FBgn0052250","PMP34"
"FBgn0035532","CG15014"
"FBgn0035533","Cip4"
"FBgn0035534","mRpS6"
"FBgn0053514","CG33514"
"FBgn0035537","CG11342"
"FBgn0035538","DopEcR"
"FBgn0035539","slow"
"FBgn0035540","Syx17"
"FBgn0035541","CG15019"
"FBgn0035542","DOR"
"FBgn0000038","nAChRbeta1"
"FBgn0014073","Tie"
"FBgn0035557","CG11353"
"FBgn0052243","CG32243"
"FBgn0035558","CG11357"
"FBgn0260657","CG42540"
"FBgn0262733","Src64B"
"FBgn0015805","HDAC1"
"FBgn0262870","axo"
"FBgn0035574","RhoGEF64C"
"FBgn0035571","CG12493"
"FBgn0035575","CG7509"
"FBgn0261797","Dhc64C"
"FBgn0027085","LeuRS-m"
"FBgn0035577","CG13708"
"FBgn0035578","CG13707"
"FBgn0035581","Dnah3"
"FBgn0035583","CG13704"
"FBgn0028699","Rh50"
"FBgn0005775","Con"
"FBgn0040843","CG15213"
"FBgn0035593","CG4603"
"FBgn0035592","CG10674"
"FBgn0035591","CG4611"
"FBgn0035590","Prpk"
"FBgn0035589","CHMP2B"
"FBgn0035588","CG10672"
"FBgn0035587","Gdap1"
"FBgn0035586","Fitm"
"FBgn0028962","AlaRS-m"
"FBgn0263831","Gen"
"FBgn0010747","Srp54k"
"FBgn0052423","shep"
"FBgn0016031","lama"
"FBgn0004380","Klp64D"
"FBgn0035600","Cyt-c1"
"FBgn0035601","Uev1A"
"FBgn0260856","Membrin"
"FBgn0035603","Pfdn4"
"FBgn0035607","CG4835"
"FBgn0035608","blanks"
"FBgn0035610","Lkr"
"FBgn0035611","CG13285"
"FBgn0010894","sinu"
"FBgn0029118","ScsbetaG"
"FBgn0029121","Sras"
"FBgn0040239","bc10"
"FBgn0015766","Msr-110"
"FBgn0035617","l(3)psg2"
"FBgn0003486","spo"
"FBgn0035619","Alp10"
"FBgn0035620","Alp9"
"FBgn0035621","CG10591"
"FBgn0035622","TM9SF3"
"FBgn0035624","Eaf6"
"FBgn0035625","Blimp-1"
"FBgn0035626","lin-28"
"FBgn0085447","sif"
"FBgn0035627","Sse"
"FBgn0263106","DnaJ-1"
"FBgn0016756","Usp47"
"FBgn0035630","CG10576"
"FBgn0035631","Txl"
"FBgn0035632","Ppat-Dpck"
"FBgn0260936","scny"
"FBgn0052418","vito"
"FBgn0040298","Myt1"
"FBgn0260458","PGRP-LD"
"FBgn0035636","Cralbp"
"FBgn0086694","Bre1"
"FBgn0035638","Tektin-C"
"FBgn0283472","S6k"
"FBgn0259167","CG42272"
"FBgn0035639","kri"
"FBgn0035640","mad2"
"FBgn0003984","vn"
"FBgn0035644","DNApol-epsilon58"
"FBgn0052409","CG32409"
"FBgn0052412","QC"
"FBgn0035649","CG10483"
"FBgn0052407","CG32407"
"FBgn0053523","CG33523"
"FBgn0002638","Rcc1"
"FBgn0053993","CG33993"
"FBgn0035656","CG10479"
"FBgn0035661","CG10477"
"FBgn0040060","yip7"
"FBgn0035663","CG6462"
"FBgn0250815","Jon65Aiv"
"FBgn0035665","Jon65Aiii"
"FBgn0035666","Jon65Aii"
"FBgn0035667","Jon65Ai"
"FBgn0028980","tant"
"FBgn0035670","CG10472"
"FBgn0035673","CG6602"
"FBgn0035674","CG13295"
"FBgn0035675","CG6610"
"FBgn0035676","ssp6"
"FBgn0035677","CG13293"
"FBgn0035678","CG10469"
"FBgn0035679","CG10467"
"FBgn0061492","loj"
"FBgn0035688","fmt"
"FBgn0035689","CG7376"
"FBgn0035690","CG10274"
"FBgn0022699","D19B"
"FBgn0262985","CG43293"
"FBgn0022935","D19A"
"FBgn0035691","CG7386"
"FBgn0035692","Sf3b6"
"FBgn0024921","Tnpo"
"FBgn0035693","CG8219"
"FBgn0002526","LanA"
"FBgn0035694","CG13299"
"FBgn0047334","BG642312"
"FBgn0261631","CG42714"
"FBgn0035695","CG10226"
"FBgn0004513","Mdr65"
"FBgn0035696","Best2"
"FBgn0035697","CG10163"
"FBgn0001258","Ldh"
"FBgn0035699","CG13300"
"FBgn0261801","CG42747"
"FBgn0035702","CG10147"
"FBgn0035703","CG8270"
"FBgn0035704","Vps8"
"FBgn0020251","sfl"
"FBgn0052396","CG32396"
"FBgn0042185","MCU"
"FBgn0286051","Rexo5"
"FBgn0035708","axed"
"FBgn0004619","GluRIA"
"FBgn0035710","SP1173"
"FBgn0035711","CG8519"
"FBgn0005626","ple"
"FBgn0261934","dikar"
"FBgn0035713","velo"
"FBgn0035714","CG8549"
"FBgn0035715","CG10103"
"FBgn0086680","vvl"
"FBgn0035718","CG14820"
"FBgn0035719","tow"
"FBgn0035720","CG10077"
"FBgn0035721","CG9948"
"FBgn0035722","CG10075"
"FBgn0029117","Surf1"
"FBgn0261445","sgl"
"FBgn0035724","CG10064"
"FBgn0035725","Mis12"
"FBgn0035726","CG9953"
"FBgn0035727","CG10063"
"FBgn0001104","Galphai"
"FBgn0260660","Mp"
"FBgn0035733","CG8641"
"FBgn0053556","form3"
"FBgn0002775","msl-3"
"FBgn0035742","Acbp4"
"FBgn0035743","Acbp6"
"FBgn0250836","Acbp3"
"FBgn0010387","Acbp2"
"FBgn0023001","melt"
"FBgn0259173","corn"
"FBgn0040837","CG8620"
"FBgn0265296","Dscam2"
"FBgn0261111","BHD"
"FBgn0035753","RpL18"
"FBgn0024542","Neos"
"FBgn0028648","mRpL50"
"FBgn0016036","mei-P22"
"FBgn0012058","Cdc27"
"FBgn0035754","MED4"
"FBgn0035755","CG14830"
"FBgn0035756","unc-13-4A"
"FBgn0035760","CG8607"
"FBgn0035761","RhoGEF4"
"FBgn0035762","Rint1"
"FBgn0035763","mrva"
"FBgn0259203","CG42307"
"FBgn0035766","eco"
"FBgn0011640","lark"
"FBgn0035767","Cln7"
"FBgn0035768","CG14834"
"FBgn0015298","Srp19"
"FBgn0019662","qm"
"FBgn0035769","CTCF"
"FBgn0035770","pst"
"FBgn0035771","Sec63"
"FBgn0035772","Sh3beta"
"FBgn0082598","akirin"
"FBgn0052380","SMSr"
"FBgn0016983","smid"
"FBgn0035777","CG8563"
"FBgn0052379","CG32379"
"FBgn0035779","CG8562"
"FBgn0035780","CG18417"
"FBgn0035781","CG8560"
"FBgn0259935","CG42458"
"FBgn0014011","Rac2"
"FBgn0035782","CG14835"
"FBgn0052383","sphinx1"
"FBgn0052382","sphinx2"
"FBgn0015033","Cyp4d8"
"FBgn0035791","CG8539"
"FBgn0035793","CG7546"
"FBgn0268063","ltl"
"FBgn0028582","lqf"
"FBgn0035802","Pura"
"FBgn0053276","Urm1"
"FBgn0035805","CG7506"
"FBgn0052373","CG32373"
"FBgn0035806","PGRP-SD"
"FBgn0035807","CG7492"
"FBgn0261788","Ank2"
"FBgn0035811","Mcad"
"FBgn0035812","CG7457"
"FBgn0035815","Snmp2"
"FBgn0035816","CG13685"
"FBgn0023076","Clk"
"FBgn0052371","CG32371"
"FBgn0052369","CG32369"
"FBgn0016694","Pdp1"
"FBgn0052365","CG32365"
"FBgn0003041","pbl"
"FBgn0035824","CG8281"
"FBgn0035825","CG8111"
"FBgn0052368","CG32368"
"FBgn0024187","syd"
"FBgn0035827","Srp9"
"FBgn0264472","CG43880"
"FBgn0041156","exex"
"FBgn0010406","RNaseX25"
"FBgn0027554","CG8042"
"FBgn0035829","HP4"
"FBgn0035830","CG8209"
"FBgn0035831","CG8038"
"FBgn0011817","nmo"
"FBgn0026263","bip1"
"FBgn0262579","Ect4"
"FBgn0035833","CG7565"
"FBgn0028379","fan"
"FBgn0027549","Nulp1"
"FBgn0262716","Arp3"
"FBgn0026252","msk"
"FBgn0035838","ldbr"
"FBgn0035839","CG7550"
"FBgn0042112","mRpL36"
"FBgn0029113","Uba2"
"FBgn0010350","Cds"
"FBgn0035842","CG7504"
"FBgn0002899","mus301"
"FBgn0035844","CG13676"
"FBgn0259916","CG42445"
"FBgn0040290","RecQ4"
"FBgn0020392","Nmt"
"FBgn0035848","Uxs"
"FBgn0035849","ERR"
"FBgn0035850","Atg18a"
"FBgn0035851","MED24"
"FBgn0035852","CG7387"
"FBgn0035853","UbcE2M"
"FBgn0035854","CG8005"
"FBgn0035856","CG13679"
"FBgn0052364","tut"
"FBgn0040832","CG8012"
"FBgn0263219","Dscam4"
"FBgn0027569","cert"
"FBgn0015793","Rab19"
"FBgn0035866","Arl5"
"FBgn0035867","CG13671"
"FBgn0035868","CG7194"
"FBgn0087039","Sbp2"
"FBgn0035870","Gr66a"
"FBgn0035871","BI-1"
"FBgn0035872","Cpsf6"
"FBgn0035873","CG13670"
"FBgn0035876","Pex2"
"FBgn0011762","DNApol-alpha50"
"FBgn0035877","CG7083"
"FBgn0035878","CG7182"
"FBgn0035879","GAPcenA"
"FBgn0035880","Culd"
"FBgn0001248","Idh"
"FBgn0035886","Jon66Ci"
"FBgn0035887","Jon66Cii"
"FBgn0035888","CG7120"
"FBgn0035889","mkg-p"
"FBgn0035890","CG13667"
"FBgn0265102","Oseg1"
"FBgn0266667","Exo70"
"FBgn0052354","CG32354"
"FBgn0020224","Cbl"
"FBgn0263352","Unr"
"FBgn0035896","CG6983"
"FBgn0010825","Gug"
"FBgn0262719","CG43163"
"FBgn0035900","ZC3H3"
"FBgn0035901","Pus7"
"FBgn0035903","CG6765"
"FBgn0035902","CG6683"
"FBgn0035904","GstO3"
"FBgn0086348","se"
"FBgn0035906","GstO2"
"FBgn0035907","GstO1"
"FBgn0024236","foi"
"FBgn0035909","ergic53"
"FBgn0260442","rhea"
"FBgn0035911","CG6638"
"FBgn0262508","CG43078"
"FBgn0017430","Nelf-E"
"FBgn0017579","RpL14"
"FBgn0017429","CG5989"
"FBgn0035914","CG6282"
"FBgn0035916","GAPsec"
"FBgn0035917","Zasp66"
"FBgn0035918","Cdc6"
"FBgn0052029","Cpr66D"
"FBgn0001168","h"
"FBgn0011509","SrpRbeta"
"FBgn0052022","CG32022"
"FBgn0035923","CG6511"
"FBgn0000357","Cp18"
"FBgn0003149","Prm"
"FBgn0266084","Fhos"
"FBgn0035926","Acbp5"
"FBgn0052023","CG32023"
"FBgn0052024","CG32024"
"FBgn0035932","CG13308"
"FBgn0035933","CG13309"
"FBgn0263930","dally"
"FBgn0052026","CG32026"
"FBgn0020633","Mcm7"
"FBgn0035934","TrpA1"
"FBgn0035936","Tsp66E"
"FBgn0264305","CG43783"
"FBgn0264307","orb2"
"FBgn0011787","mRpL12"
"FBgn0035941","CG13313"
"FBgn0035942","ValRS-m"
"FBgn0035944","CG5021"
"FBgn0035945","CG5026"
"FBgn0086706","pix"
"FBgn0035947","Srp68"
"FBgn0035948","CG5644"
"FBgn0263199","Galk"
"FBgn0035951","CG5068"
"FBgn0016070","smg"
"FBgn0035953","CG5087"
"FBgn0035955","CG5194"
"FBgn0035957","CG5144"
"FBgn0000116","Argk"
"FBgn0035959","CG4911"
"FBgn0035960","CG4942"
"FBgn0023479","teq"
"FBgn0043806","CG32032"
"FBgn0040827","CG13315"
"FBgn0011206","bol"
"FBgn0035964","Dhpr"
"FBgn0035965","Use1"
"FBgn0263456","nwk"
"FBgn0004244","Rdl"
"FBgn0035968","Slc45-1"
"FBgn0035975","PGRP-LA"
"FBgn0035976","PGRP-LC"
"FBgn0035977","PGRP-LF"
"FBgn0035978","UGP"
"FBgn0052040","CG32040"
"FBgn0052039","CG32039"
"FBgn0085484","Pdxk"
"FBgn0085485","CG34456"
"FBgn0004379","Klp67A"
"FBgn0035980","mRRF1"
"FBgn0035981","CG4452"
"FBgn0011769","Fdx1"
"FBgn0001229","Hsp67Bc"
"FBgn0001228","CG4456"
"FBgn0035982","CG4461"
"FBgn0001225","Hsp26"
"FBgn0001227","Hsp67Ba"
"FBgn0001224","Hsp23"
"FBgn0001226","Hsp27"
"FBgn0035983","CG4080"
"FBgn0015218","eIF4E1"
"FBgn0035985","Cpr67B"
"FBgn0035986","CG4022"
"FBgn0035987","Cpsf5"
"FBgn0035989","Tat"
"FBgn0023129","aay"
"FBgn0015296","Shc"
"FBgn0005533","RpS17"
"FBgn0040305","MTF-1"
"FBgn0260431","CG42526"
"FBgn0260859","Bet3"
"FBgn0035993","Nf-YA"
"FBgn0053926","CG33926"
"FBgn0035995","CG3529"
"FBgn0035996","CG3448"
"FBgn0266124","ghi"
"FBgn0035997","phol"
"FBgn0035999","CG3552"
"FBgn0035998","CG3437"
"FBgn0036000","CG3434"
"FBgn0266101","CG44838"
"FBgn0011327","Uch-L5"
"FBgn0036004","Jarid2"
"FBgn0036005","pall"
"FBgn0052036","CG32036"
"FBgn0052037","CG32037"
"FBgn0036007","path"
"FBgn0036008","CG3408"
"FBgn0010408","RpS9"
"FBgn0261555","CG42673"
"FBgn0267796","Tmc"
"FBgn0267348","LanB2"
"FBgn0036018","CG3335"
"FBgn0036020","CG8336"
"FBgn0016081","fry"
"FBgn0036022","CG8329"
"FBgn0036023","CG18179"
"FBgn0036024","CG18180"
"FBgn0053696","CNMaR"
"FBgn0036028","CG16717"
"FBgn0087040","alphaTub67C"
"FBgn0036030","CG6767"
"FBgn0015321","Ubc4"
"FBgn0036032","CG16711"
"FBgn0040475","SH3PX1"
"FBgn0045823","vsg"
"FBgn0036035","CG18178"
"FBgn0036036","CG14174"
"FBgn0261530","nbs"
"FBgn0036038","defl"
"FBgn0036039","Naa60"
"FBgn0019644","ATPsynB"
"FBgn0036040","CG6749"
"FBgn0259163","CG42268"
"FBgn0036043","CG8177"
"FBgn0264489","CG43897"
"FBgn0028429","I-2"
"FBgn0015618","Cdk8"
"FBgn0004390","RasGAP1"
"FBgn0036052","CG10809"
"FBgn0036053","iPLA2-VIA"
"FBgn0027567","CG8108"
"FBgn0085411","CG34382"
"FBgn0011836","Taf2"
"FBgn0025866","CalpB"
"FBgn0036058","CG6707"
"FBgn0286833","CG46387"
"FBgn0036059","nudE"
"FBgn0085385","bma"
"FBgn0036062","CG6685"
"FBgn0026404","Dronc"
"FBgn0036063","CG6674"
"FBgn0263251","vnc"
"FBgn0040823","dpr6"
"FBgn0036066","CG14160"
"FBgn0052053","CG32053"
"FBgn0052054","CG32054"
"FBgn0262007","CG42825"
"FBgn0262008","CG42826"
"FBgn0052057","dpr10"
"FBgn0000451","ect"
"FBgn0052055","CG32055"
"FBgn0052056","scramb1"
"FBgn0011802","Gem3"
"FBgn0052062","Rbfox1"
"FBgn0001179","hay"
"FBgn0054001","CG34001"
"FBgn0000629","E(z)"
"FBgn0036090","CG8009"
"FBgn0036091","CG18628"
"FBgn0052066","CG32066"
"FBgn0036096","CG8003"
"FBgn0052068","Adi1"
"FBgn0010762","simj"
"FBgn0036099","CG11811"
"FBgn0053493","CG33493"
"FBgn0047038","ND-13B"
"FBgn0036101","NijA"
"FBgn0026160","tna"
"FBgn0036104","CG6418"
"FBgn0036105","Blos4"
"FBgn0036106","CG6409"
"FBgn0036107","galla-2"
"FBgn0027615","OXA1L"
"FBgn0036110","Cpr67Fb"
"FBgn0036111","Aps"
"FBgn0013469","klu"
"FBgn0263776","CG43693"
"FBgn0036116","CG7888"
"FBgn0036117","CG6321"
"FBgn0036118","Blos2"
"FBgn0052069","CG32069"
"FBgn0052075","CG32075"
"FBgn0036121","CG6310"
"FBgn0263241","Mocs1"
"FBgn0010741","Pfdn2"
"FBgn0036124","CG7839"
"FBgn0020412","JIL-1"
"FBgn0036125","Iyd"
"FBgn0083068","CG33947"
"FBgn0036126","Irbp18"
"FBgn0261112","APP-BP1"
"FBgn0036133","CG7638"
"FBgn0003462","Sod1"
"FBgn0036134","FoxK"
"FBgn0036135","mRpL2"
"FBgn0036136","Ufd1-like"
"FBgn0260795","NaPi-III"
"FBgn0052082","IRSp53"
"FBgn0052076","Alg10"
"FBgn0036141","wls"
"FBgn0036142","CG7616"
"FBgn0036144","GlcAT-P"
"FBgn0036147","Plod"
"FBgn0036145","CG7607"
"FBgn0061469","Ube3a"
"FBgn0064766","CG7600"
"FBgn0261553","CG42671"
"FBgn0036150","Ir68a"
"FBgn0041094","scyl"
"FBgn0036152","CG6175"
"FBgn0036155","CG6163"
"FBgn0036157","CG7560"
"FBgn0036165","chrb"
"FBgn0003377","Sgs7"
"FBgn0259481","Mob2"
"FBgn0036173","CG7394"
"FBgn0053267","CG33267"
"FBgn0036179","CG7368"
"FBgn0036180","Duba"
"FBgn0036181","Muc68Ca"
"FBgn0086254","CG6084"
"FBgn0036184","PCID2"
"FBgn0042138","CG18815"
"FBgn0052091","CG32091"
"FBgn0036186","CG6071"
"FBgn0036187","RIOK1"
"FBgn0036188","CG7339"
"FBgn0052085","CG32085"
"FBgn0015828","TfIIEalpha"
"FBgn0036191","Sugb"
"FBgn0036192","Pldn"
"FBgn0036193","CG14135"
"FBgn0036194","Dph1"
"FBgn0036196","CG11658"
"FBgn0036198","crim"
"FBgn0036199","Bmcp"
"FBgn0036202","CG6024"
"FBgn0036203","Muc68D"
"FBgn0015278","Pi3K68D"
"FBgn0036205","CG14131"
"FBgn0036207","CG10907"
"FBgn0004381","Klp68D"
"FBgn0259140","CG42255"
"FBgn0036210","CG14130"
"FBgn0036211","CG5946"
"FBgn0036212","CG11597"
"FBgn0036213","RpL10Ab"
"FBgn0052095","CG32095"
"FBgn0000404","CycA"
"FBgn0262366","CG43064"
"FBgn0266100","CG44837"
"FBgn0036220","CG5897"
"FBgn0036225","CG5883"
"FBgn0036226","CG7252"
"FBgn0262986","CG43294"
"FBgn0028573","prc"
"FBgn0053265","Muc68E"
"FBgn0259748","CG42397"
"FBgn0036232","CG14125"
"FBgn0036237","viaf"
"FBgn0026432","Grip163"
"FBgn0036239","Pop2"
"FBgn0036240","CG6928"
"FBgn0041096","rols"
"FBgn0036242","CG6793"
"FBgn0284221","Sema5c"
"FBgn0011335","vers"
"FBgn0036248","ssp"
"FBgn0036249","CG11560"
"FBgn0022959","yps"
"FBgn0046296","CG11534"
"FBgn0036254","CG5645"
"FBgn0036255","Atg12"
"FBgn0011455","ND-SGDH"
"FBgn0036257","RhoGAP68F"
"FBgn0036258","eIF3l"
"FBgn0013997","Nrx-IV"
"FBgn0052099","CG32099"
"FBgn0036260","Rh7"
"FBgn0027843","CAH2"
"FBgn0036262","CG6910"
"FBgn0000592","Est-6"
"FBgn0036263","thoc6"
"FBgn0022709","Adk1"
"FBgn0036266","CG5626"
"FBgn0260941","app"
"FBgn0052100","CG32100"
"FBgn0036271","Pbgs"
"FBgn0036272","Sms"
"FBgn0036273","INPP5E"
"FBgn0052105","Lmx1a"
"FBgn0036277","CG10418"
"FBgn0036278","CrzR"
"FBgn0036279","Ncc69"
"FBgn0052104","CG32104"
"FBgn0011279","Obp69a"
"FBgn0036282","Smyd4-2"
"FBgn0052103","SCaMC"
"FBgn0020655","ArfGAP1"
"FBgn0000625","eyg"
"FBgn0036286","CG10616"
